PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=71.9 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=75.9 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=73.0 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=98.5 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=87.0 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=62.8 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=91.6 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=88.8 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=73.2 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=95.0 ms
